a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.715976544763598, , , , , , , , , , , , , , , , , , , ,3.7348068454047354, , , , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6230772122409745, , , , , , , , , , , , , , , , , , , ,3.6414367561898917, , , , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.530177909719388, , , , , , , , , , , , , , , , , , , ,3.5480666972808397, , , , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.4372786503831136, , , , , , , , , , , , , , , , , , , ,3.4546966819958027, , , , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.344379453819395, , , , , , , , , , , , , , , , , , , ,3.3613267301209837, , , , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.2514803494427853, , , , , , , , , , , , , , , , , , , ,3.267956871369744, , , , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.158581381930542, , , , , , , , , , , , , , , , , , , ,3.174587150873172, , , , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.065682619962529, , , , , , , , , , , , , , , , , , , ,3.081217638008807, , , , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.9727841704689686, , , , , , , , , , , , , , , , , , , ,2.9878484407930817, , , , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.8798862021972753, , , , , , , , , , , , , , , , , , , ,2.894479729687533, , , , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.7869889852991565, , , , , , , , , , , , , , , , , , , ,2.8011117775880057, , , , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.6940929589275724, , , , , , , , , , , , , , , , , , , ,2.7077450281081252, , , , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.601198848692788, , , , , , , , , , , , , , , , , , , ,2.6143802142280883, , , , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.5083078745808765, , , , , , , , , , , , , , , , , , , ,2.521018568324168, , , , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.4154221263689015, , , , , , , , , , , , , , , , , , , ,2.427662201394163, , , , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.322545255921527, , , , , , , , , , , , , , , , , , , ,2.3343148023769458, , , , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.2296837827842926, , , , , , , , , , , , , , , , , , , ,2.240982956977939,0.21780209208105247,0.19186044544207848, , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.1368496153461347, , , , , , , , , , , , , , , , , , , ,2.1476786943440556,0.22439904326507418,0.18037780837759868, , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.0440650406949032, , , , , , , , , , , , , , , , , , , ,2.0544245272728734,0.2286274617306095,0.1710586900960079, , , , , , , , , , , , , , , , , 
-4.0,-2.1,1.951372848691427, , , , , , , , , , , , , , , , , , , ,1.961263677934444,0.23186959751970163,0.1625278067002724, , , , , , , , , , , , , , , , , 
-4.0,-2.0,1.8588573556566237, , , , , , , , , , , , , , , , , , , ,1.868281310636906,0.23454056431493622,0.15437987143771273, , , , , , , , , , , , , , , , , 
